SERIAL_NO,년도,행정구역코드,주차장명,소재지,환승수단,주차장형식,주차급지,주차면수,일반주차요금,환승주차요금,운영기관,자료기준일,위도,경도
9992000051,2020,3113000,덕소역,경기도 남양주시 와부읍 덕소로 56 덕소역,중앙선,,,65,300원/10분,,코레일네트웍스,20200420,37.587199,127.208547
9992000052,2020,3113000,도농역,경기도 남양주시 경춘로 433 도농역,중앙선,,,100,300원/10분,,코레일네트웍스,20200420,37.608763,127.161123
9992000053,2020,3138000,양수역,경기도 양평군 양서면 목왕로 55-10 양수역,중앙선,,,73,200원/10분,,코레일네트웍스,20200420,37.545998,127.328948
9992000054,2020,3113000,양정역,경기도 남양주시 경강로 237 양정역,중앙선,,,39,200원/10분,,코레일네트웍스,20200420,37.604269,127.194602
9992000055,2020,3138000,양평역1 2,경기도 양평군 양평읍 역전길 30 양평역,중앙선,,,112,200원/10분,,코레일네트웍스,20200420,37.4927707,127.4921322
9992000056,2020,3138000,용문역,경기도 양평군 용문면 용문역길 21 용문역,중앙선,,,85,200원/10분,,코레일네트웍스,20200420,37.482468,127.594471
9992000057,2020,3138000,용문역2,경기도 양평군 용문면 용문역길 21 용문역,중앙선,,,78,0,,코레일네트웍스,20200420,37.482468,127.594471
9992000058,2020,3138000,용문역3,경기도 양평군 용문면 용문역길 21 용문역,중앙선,,,27,0,,코레일네트웍스,20200420,37.482468,127.594471
9993000001,2020,2304000,송도역,인천광역시 연수구 비류대로 175 송도역,4호선,,,158,300원/10분,,코레일네트웍스,20200420,37.429714,126.654485
9993000002,2020,2304000,원인재역,인천광역시 연수구 경원대로 지하 285 원인재역,4호선,,,42,0,,코레일네트웍스,20200420,37.412757,126.6871295
